================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_C14_H501
Element  : C14_shaft
Script   : full_pipeline.py
Date     : 2026-05-29 14:47:40
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
    314.31     15.00   1.000   1.000     318.370     522.741    0.592     0.748    0.951      ✗
    168.57     20.00   1.000   1.000     446.264       0.000    0.593     0.593    1.793      ✗
    247.05     20.00   1.000   1.000     387.490     220.532    0.594     0.672    1.316      ✗
    168.17     20.00   1.000   1.000     444.757       0.000    0.595     0.595    1.799      ✗
    247.45     20.00   1.000   1.000     385.983     220.532    0.596     0.674    1.319      ✗
    314.71     15.00   1.000   1.000     314.798     522.741    0.597     0.755    0.955      ✗
    167.77     20.00   1.000   1.000     443.249       0.000    0.597     0.597    1.805      ✗
    247.85     20.00   1.000   1.000     384.476     220.532    0.598     0.677    1.322      ✗
    167.37     20.00   1.000   1.000     441.742       0.000    0.600     0.600    1.811      ✗
    248.25     20.00   1.000   1.000     382.969     220.532    0.600     0.679    1.326      ✗
    166.97     20.00   1.000   1.000     440.235       0.000    0.602     0.602    1.817      ✗
    315.12     15.00   1.000   1.000     311.226     522.741    0.602     0.761    0.959      ✗
    248.65     20.00   1.000   1.000     381.462     220.532    0.602     0.682    1.329      ✗
    166.57     20.00   1.000   1.000     438.728       0.000    0.604     0.604    1.823      ✗
    249.05     20.00   1.000   1.000     379.955     220.532    0.604     0.685    1.332      ✗
    166.17     20.00   1.000   1.000     437.221       0.000    0.606     0.606    1.830      ✗
    249.45     20.00   1.000   1.000     378.448     220.532    0.606     0.687    1.336      ✗
    315.52     15.00   1.000   1.000     307.653     522.741    0.606     0.768    0.963      ✗
    165.77     20.00   1.000   1.000     435.714       0.000    0.608     0.608    1.836      ✗
    249.85     20.00   1.000   1.000     376.941     220.532    0.608     0.690    1.339      ✗
    165.37     20.00   1.000   1.000     434.207       0.000    0.610     0.610    1.842      ✗
    250.25     20.00   1.000   1.000     375.434     220.532    0.610     0.692    1.342      ✗
    315.92     15.00   1.000   1.000     304.081     522.741    0.611     0.775    0.968      ✗
    164.96     20.00   1.000   1.000     432.700       0.000    0.612     0.612    1.849      ✗
    250.65     20.00   1.000   1.000     373.927     220.532    0.613     0.695    1.346      ✗
    164.56     20.00   1.000   1.000     431.193       0.000    0.614     0.614    1.855      ✗
    251.05     20.00   1.000   1.000     372.420     220.532    0.615     0.698    1.349      ✗
     99.70     15.00   1.000   1.000     443.396       0.000    0.616     0.616    1.804      ✗
    316.32     15.00   1.000   1.000     300.509     522.741    0.616     0.781    0.972      ✗
    164.16     20.00   1.000   1.000     429.686       0.000    0.616     0.616    1.862      ✗
    251.45     20.00   1.000   1.000     370.913     220.532    0.617     0.701    1.353      ✗
    163.76     20.00   1.000   1.000     428.179       0.000    0.619     0.619    1.868      ✗
    251.85     20.00   1.000   1.000     369.406     220.532    0.619     0.703    1.356      ✗
    163.36     20.00   1.000   1.000     426.672       0.000    0.621     0.621    1.875      ✗
     99.30     15.00   1.000   1.000     439.824       0.000    0.621     0.621    1.819      ✗
    316.72     15.00   1.000   1.000     296.937     522.741    0.621     0.788    0.976      ✗
    252.25     20.00   1.000   1.000     367.899     220.532    0.621     0.706    1.360      ✗
    162.96     20.00   1.000   1.000     425.165       0.000    0.623     0.623    1.882      ✗
    252.65     20.00   1.000   1.000     366.392     220.532    0.623     0.709    1.363      ✗
    162.56     20.00   1.000   1.000     423.658       0.000    0.625     0.625    1.888      ✗
    253.05     20.00   1.000   1.000     364.885     220.532    0.626     0.712    1.367      ✗
     98.90     15.00   1.000   1.000     436.252       0.000    0.626     0.626    1.834      ✗
    317.12     15.00   1.000   1.000     293.365     522.741    0.626     0.795    0.980      ✗
    162.16     20.00   1.000   1.000     422.151       0.000    0.627     0.627    1.895      ✗
    253.45     20.00   1.000   1.000     363.378     220.532    0.628     0.715    1.370      ✗
    161.76     20.00   1.000   1.000     420.644       0.000    0.630     0.630    1.902      ✗
    253.85     20.00   1.000   1.000     361.871     220.532    0.630     0.717    1.374      ✗
     98.50     15.00   1.000   1.000     432.679       0.000    0.631     0.631    1.849      ✗
    317.52     15.00   1.000   1.000     289.793     522.741    0.631     0.802    0.985      ✗
    161.36     20.00   1.000   1.000     419.137       0.000    0.632     0.632    1.909      ✗
    254.25     20.00   1.000   1.000     360.364     220.532    0.632     0.720    1.377      ✗
    160.96     20.00   1.000   1.000     417.630       0.000    0.634     0.634    1.916      ✗
    254.65     20.00   1.000   1.000     358.857     220.532    0.635     0.723    1.381      ✗
    160.56     20.00   1.000   1.000     416.123       0.000    0.636     0.636    1.923      ✗
     98.10     15.00   1.000   1.000     429.107       0.000    0.636     0.636    1.864      ✗
    317.92     15.00   1.000   1.000     286.220     522.741    0.637     0.810    0.989      ✗
    255.06     20.00   1.000   1.000     357.350     220.532    0.637     0.726    1.384      ✗
    160.16     20.00   1.000   1.000     414.616       0.000    0.639     0.639    1.929      ✗
    255.46     20.00   1.000   1.000     355.843     220.532    0.639     0.729    1.388      ✗
    159.76     20.00   1.000   1.000     413.109       0.000    0.641     0.641    1.937      ✗
    255.86     20.00   1.000   1.000     354.336     220.532    0.642     0.732    1.392      ✗
     97.70     15.00   1.000   1.000     425.535       0.000    0.642     0.642    1.880      ✗
