================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_reducer_2stages
Element  : shaft_1
Script   : shaft_1.py
Date     : 2026-05-29 14:59:12
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
    127.73     50.00   1.000   1.000      38.459       0.000    6.243     6.243   20.801      ✓
    206.21     50.00   1.000   1.000      35.011      14.114    6.253     6.808   16.285      ✓
     66.87     40.00   1.000   1.000      39.324       0.000    6.253     6.253   20.344      ✓
    307.91     40.00   1.000   1.000      32.495      27.566    6.261     7.323   13.320      ✓
    127.33     50.00   1.000   1.000      38.338       0.000    6.263     6.263   20.867      ✓
    206.61     50.00   1.000   1.000      34.939      14.114    6.265     6.822   16.309      ✓
    207.01     50.00   1.000   1.000      34.866      14.114    6.276     6.836   16.333      ✓
    126.93     50.00   1.000   1.000      38.218       0.000    6.283     6.283   20.933      ✓
    308.31     40.00   1.000   1.000      32.354      27.566    6.284     7.353   13.351      ✓
    207.41     50.00   1.000   1.000      34.794      14.114    6.288     6.850   16.357      ✓
     66.47     40.00   1.000   1.000      39.088       0.000    6.291     6.291   20.467      ✓
